uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0061211J,65,84.3,27.1,0,0.84375,21,1,885
0932262D,0,79.1,23.7,0,1.0611620795107033,21,1,674
0594524X,51,73.1,20.8,0,0.9819277108433735,19,1,329
0590183D,0,68.3,20.6,0,1.0523560209424083,25,1,392
0931217T,0,96.6,36.4,0,0.9709090909090909,38,1,542
0921160L,0,87.2,33.1,0,0.9002770083102493,29,1,686
0382174G,115,87.4,30.7,0,0.9834905660377359,24,1,841
0631238D,66,86.9,30.4,0,0.923728813559322,25,1,681
0930893R,60,77.4,24.5,0,1.0144578313253012,28,1,836
0131884C,0,72.8,19.6,0,0.9866666666666667,20,1,596
0540088C,0,77.1,18.8,0,1.2156862745098038,22,1,226
0280656L,0,82.4,32.3,0,0.9924812030075187,18,1,265
0021518P,0,86.5,28.1,0,0.9950248756218906,27,1,401
0020054Y,0,67.7,21.7,0,1.031055900621118,17,1,327
0580012Y,0,103.1,29.4,0,0.9827586206896551,20,1,115
0932579Y,0,92.2,33.2,0,0.910394265232975,21,1,533
7200027S,0,99.7,29.5,0,1.3191489361702127,15,1,109
0820588U,62,96.7,35.2,0,0.9313725490196079,24,1,1182
0801341Y,60,81.0,26.0,0,1.0209205020920502,21,1,483
0061174U,0,81.1,24.0,0,0.7551724137931034,22,1,509
0670004R,52,82.8,31.1,0,0.9315068493150684,15,1,705
0761701L,65,89.1,27.0,0,0.927710843373494,20,1,640
0350895H,62,73.9,26.8,0,1.0602409638554218,18,1,513
0060840F,61,83.9,26.7,0,0.9302325581395349,24,1,830
0931207G,0,85.9,25.6,0,0.9393939393939394,23,1,512
9741045T,0,79.1,26.8,0,1.032258064516129,13,1,504
0752606A,0,88.3,25.0,0,1.2189349112426036,22,1,375
0132403S,0,86.1,27.8,0,1.1111111111111112,23,1,380
9730193X,48,72.0,20.4,0,0.9694915254237289,22,1,581
0141268C,0,82.5,30.4,0,0.9658385093167702,30,1,633
0931184G,62,78.9,22.0,0,0.8093922651933702,19,1,655
0330140Y,46,74.0,25.2,0,0.9090909090909091,18,1,567
0931195U,0,79.0,24.7,0,0.9586206896551724,23,1,568
0332189A,0,92.9,34.2,0,0.8979591836734694,22,1,465
0931186J,0,85.3,27.2,0,1.0034482758620689,21,1,581
0390883Y,97,88.0,30.6,0,0.8526645768025078,21,1,591
0921778H,0,88.3,26.5,0,1.0208333333333333,20,1,388
0594392D,0,85.3,29.8,0,0.9370629370629371,20,1,277
0692343X,60,67.3,19.6,0,0.9116022099447514,20,1,692
0931221X,77,74.5,24.0,0,0.907051282051282,21,1,595
0573268T,20,67.0,19.4,0,0.8493975903614458,22,1,307
0550701N,38,80.7,31.8,0,0.9652777777777778,23,1,283
0450069F,0,89.3,27.5,0,0.8636363636363636,17,1,451
0771621U,0,92.7,29.5,0,1.2684563758389262,24,1,338
0590131X,0,74.4,26.8,0,0.9711934156378601,19,1,479
0790004A,0,84.2,22.7,0,0.9647058823529412,15,1,167
0290149E,61,73.1,21.5,0,1.0055248618784531,17,1,363
0931434D,0,78.9,23.4,0,0.9807692307692307,22,1,618
0594293W,0,73.2,22.3,0,0.9962406015037594,22,1,531
0300059B,0,72.9,22.5,0,0.9571984435797666,19,1,503
0131604Y,0,65.1,16.4,0,1.033210332103321,20,1,551
0594634S,50,72.9,25.1,0,0.8611111111111112,22,1,402
0771172F,66,72.7,20.9,0,0.9157509157509157,20,1,523
0132412B,93,93.3,30.2,0,1.0637119113573408,20,1,745
0950886X,49,76.3,21.7,0,0.9515570934256056,20,1,564
0931883S,0,77.8,28.4,0,0.9397590361445783,19,1,322
9740645H,63,73.2,26.8,0,0.7833622183708839,38,1,1029
0160864C,63,83.6,26.6,0,0.8193832599118943,22,1,413
0781986K,0,88.2,31.4,0,1.0984848484848484,16,1,277
0820017Y,46,88.2,32.0,0,0.9029126213592233,27,1,784
0890024T,0,84.5,28.5,0,1,19,1,494
0911042N,0,86.4,25.1,0,1.0078125,19,1,771
0761781Y,43,83.6,24.1,0,0.9948453608247423,19,1,387
9730145V,43,77.5,26.1,0,1.0636363636363637,19,1,227
0160884Z,0,83.9,27.7,0,0.7808988764044944,28,1,317
0622262X,55,82.4,27.7,0,0.9966996699669967,20,1,605
0691645N,0,80.6,28.1,0,0.9879518072289156,15,1,495
0240055E,0,101.4,28.4,0,0.780952380952381,21,1,187
0761696F,0,88.0,27.1,0,1.0497737556561086,22,1,453
0691730F,0,74.2,23.8,0,0.922879177377892,19,1,748
9730381B,48,71.9,15.7,0,0.8275862068965517,47,1,212
0421176A,59,65.3,18.2,0,0.8051948051948052,20,1,417
0931707A,60,89.9,29.4,0,0.9162011173184358,21,1,686
9760368W,110,59.6,18.6,0,0.963151207115629,16,1,1545
0931788N,0,86.1,23.8,0,0.9553264604810997,21,1,569
0595782P,0,74.2,23.5,0,1.0372670807453417,17,1,328
9740035V,124,75.6,27.8,0,0.7931873479318735,25,1,737
